"入庫番号","ステータス","状態","引取完了日","依頼元","車名","認定型式","車台番号","年式","車色","見積金額","登録番号１","登録番号２","登録番号３","登録番号４","NO","車証","印証","委任","譲渡","自賠","返却部品","営業担当者","入庫場所","引取車輌番号","自社管理番号"
"1900051","通常","入庫済","2019/01/31","株式会社はなまる","ﾊﾞﾓｽ･ﾎﾋﾞｵ","GBD-HJ1","HJ1-1300126","200703","ｶﾞﾝﾒﾀ","15120","なにわ","496","ろ","4118","無","無","無","無","無","無","","村田眞一郎","","091800H19000051","310158"
"1900078","通常","入庫済","2019/02/13","車検のコバック八代　千丁店","ﾊｲｾﾞｯﾄ","V-S100P","S100P-031004","199501","ｼﾛ","13000","熊本","41","そ","9408","無","無","無","無","無","無","","","","091800H19000078","310220"
"1900099","通常","入庫済","2019/02/20","日産人吉　営業","ｵｯﾃｨ","DBA-H92W","H92W-0266459","200806","ｶﾞﾝﾒﾀ","13000","熊本","580","つ","9691","有","有","無","無","無","無","","","","091800H19000099","310237"
"1800252","通常","入庫済","2018/06/11","日産人吉　営業","ﾏｰﾁ","UA-AK12","AK12-180617","200306","ｼﾙﾊﾞｰ","23000","熊本","530","す","7151","有","有","有","有","有","無","","","","091800H18000252","300615"
"1900100","通常","入庫済","2019/02/19","ＪＡあしきた　車両センター","ekﾜｺﾞﾝ","LA-H81W","H81W-0055452","0","ｸﾛ","13000","熊本","580","こ","5370","有","有","無","無","無","無","","","","091800H19000100","310231"
"1800611","通常","入庫済","2018/12/15","（有）桑原モータース","ﾗｲﾌ","DBA-JB5","JB5-4853233","200812","ｷﾞﾝ","15000","熊本","580","な","4084","無","コピー","無","無","無","無","","","","091800H18000612","301233"
"1900017","通常","入庫済","2019/01/13","ＪＡあしきた　車両センター","ﾑｰﾌﾞ･ｶｽﾀﾑ","DBA-L150S","L150S-3004839","0","ｸﾛ","13000","熊本","581","せ","4867","無","抹消原本","無","無","無","無","","","","091800H19000017","310118"
"1800166","通常","入庫済","2018/04/27","佐々木鈑金塗装工場","ﾜｺﾞﾝR","GF-MC21S","MC21S-603510","199803","ﾜｲﾝ","14000","熊本","580","め","9482","無","抹消コピー","無","無","無","無","","","","091800H18000166","300437"
"1900091","通常","入庫済","2019/02/20","有限会社　肥後新ボデー","ﾌｰｶﾞ","CBA-Y50","Y50-107563","200503","ﾊﾟｰﾙ","35000","熊本","301","せ","5044","無","コピー","無","無","無","無","","","","091800H19000091","310234"
"1800127","通常","入庫済","2018/04/05","（有）平田鈑金塗装工場","ｷｬﾘｰ","V-DC51T","DC51T-458332","0","ｼﾛ","14000","熊本","80","あ","1426","無","無","無","無","無","無","","","","091800H18000127","300414"
"1800271","通常","入庫済","2018/06/26","個人","ｼﾋﾞｯｸ","CBA-EU3","EU3-1402387","200411","ｼﾛ","10000","熊本","501","ひ","2432","有","有","無","無","無","無","","","","091800H18000271","300530"
"1900050","通常","入庫済","2019/01/29","ｽｽﾞｷアリーナ八代","ｱﾙﾄ･ﾗﾊﾟﾝ","UA-HE21S","HE21S-389130","200307","ｺﾝ","13000","熊本","580","と","4703","","","","","","","","","","091800H19000050","310155"
"1800188","通常","入庫済","2018/05/08","（有）桑原モータース","ﾜｺﾞﾝR","UA-MC22S","MC22S-510728","200303","ｼﾙﾊﾞｰ","14000","熊本","53","き","555","無","抹消原本","無","無","無","無","","","","091800H18000188","300507"
"1800424","通常","入庫済","2018/09/14","中山車両整備工場","ｷｭｰﾌﾞ","UA-BZ11","BZ11022420","200301","ｼﾛ","23000","熊本","501","つ","4707","無","抹消原本","無","有","無","無","","","","091800H18000424","300932"
"1800242","通常","入庫済","2018/06/06","個人","ﾊﾞﾓｽ","GF-HM1","HM1-1003539","199907","ｼﾛ","5000","熊本","581","こ","8175","無","抹消原本","無","無","無","無","","","","091800H18000242","300607"
"1900227","通常","入庫済","2019/03/28","トラスティー","ﾗｲﾌ","GF-JB1","JB1-1180297","200005","ｼﾛ","13000","熊本","50","ゆ","1597","無","抹消原本","無","無","無","無","","","","091800H19000227","310394"
"1800204","通常","入庫済","2018/05/19","プリンス水俣営業","ｽｸﾗﾑ","LE-DG63T","DG63T-380010","200510","ｼﾛ","10000","熊本","480","そ","7902","有","有","無","無","無","有","","","","091800H18000204","290238"
